,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1398,Avis Payoneer ,"3,4 sur 5 étoiles",24/03/2022,"le service client est misérable. déjà le mail support ou le téléphone de support est très difficile à trouver, ils ne les mettent pas en évidence. j'ai dû fouiller sur tout le site et faire face à plusieurs mails de réponses automatiques pour le trouver, pour avoir un humain et non un robot à qui soumettre mon problème.",service client misérable déjà mail support téléphone support très difficile trouver mettent évidence dû fouiller tout site faire face plusieurs mails réponses automatiques trouver avoir humain non robot soumettre problème,Negative,4,service
1399,Avis Payoneer ,"1,8 sur 5 étoiles",23/03/2022,"j'ai ouvert un compte et je l'ai associé à mon compte udemy. tout se passe à merveille, mais lorsque j'ai voulu transférer mon argent vers mon compte bancaire, j'ai rencontré un problème, la limite de transfert est limitée à 100.000 $. je pose la question aux responsables de ce site. quand et comment je vais collecter cette somme.",ouvert compte associé compte udemy tout passe merveille lorsque voulu transférer argent vers compte bancaire rencontré problème limite transfert limitée 100 000 pose question responsables site quand comment vais collecter cette somme,Positive,2,frais
1400,Avis Payoneer ,"1,0 sur 5 étoiles",25/08/2021,"une carte bloquée sans aucune raison, mes soldes aussi.payoneer est une arnaque! le service clientèle est tellement nul passer des semaines sur un seul problème, je deconseille. ils ne sont pas du tout professionels, je regrette de leur avoir confié mon argent, il est toujours bloqué.",carte bloquée sans aucune raison soldes aussi payoneer arnaque service clientèle tellement nul passer semaines seul problème deconseille tout professionels regrette avoir confié argent toujours bloqué,Positive,4,service
1401,Avis Payoneer ,"1,0 sur 5 étoiles",23/05/2021,service client lamentable car la vérification de mon compte est toujours en attente depuis plus de 3 mois.chaque fois de nouvelles excuses et chaque document qu'on envoie est illisible or c'est en pdf.je regrette d'avoir autorisé ma societé à faire un depôt sur payonner car je ne peux pas le retirer.,service client lamentable car vérification compte toujours attente depuis plus mois chaque fois nouvelles excuses chaque document envoie illisible or pdf regrette avoir autorisé societé faire depôt payonner car peux retirer,Positive,5,personnel
1402,Avis Payoneer ,"4,0 sur 5 étoiles",04/02/2021,"bonjour, je suis fabrice et j’ai récemment recouru à payoneer.c’est un spécialiste du paiement en ligne que j’ai eu à utiliser pour mes transactions. avant d’engager toute inscription, j’ai pris le soin d’effectuer quelques recherches et je me suis rendu compte que payoneer est une société fiable puisqu’elle possède toutes les licences requises. avec elle, j’ai remarqué qu’il était possible de faire des retraits, des dépôts et de réaliser des achats sur des plateformes comme amazon.ce portefeuille m’a permis de faire mes opérations tout en protégeant mes coordonnées bancaires. l’ouverture de compte a été aisée. j’ai rempli les champs avec mes informations personnelles et j’ai confirmé mon identité. en outre, les transferts que j’ai eu à effectuer étaient presque instantanés. toutefois, j’ai constaté que les frais de recharge de ma carte étaient tout de même élevés. quant au site, il était ergonomique et simple à manipuler. je n’ai cependant pas pu recourir au service client.en somme, payoneer est une plateforme que je recommanderais pour la qualité de ses prestations.",bonjour fabrice récemment recouru payoneer spécialiste paiement ligne utiliser transactions avant engager toute inscription pris soin effectuer quelques recherches rendu compte payoneer société fiable puisqu possède toutes licences requises remarqué possible faire retraits dépôts réaliser achats plateformes comme amazon portefeuille permis faire opérations tout protégeant coordonnées bancaires ouverture compte aisée rempli champs informations personnelles confirmé identité outre transferts effectuer presque instantanés toutefois constaté frais recharge carte tout élevés quant site ergonomique simple manipuler cependant pu recourir service client somme payoneer plateforme recommanderais qualité prestations,Positive,0,service
1403,Avis Payoneer ,"4,3 sur 5 étoiles",21/01/2021,"j'utilise surtout payoneer avec un de mes clients depuis plusieurs années et je suis globalement satisfait.c'est notamment parce qu'il offre différents avantages assez intéressants. le principal d'entre eux est que les transactions sont rapides et les délais sont très souvent plus courts que ceux annoncés par payonner. alors que le transfert est sensé prendre de 2 à 5 jours, je reçois généralement l'argent dès le lendemain de l'ordre de transfert.en outre, les frais sont très bas et fixes. en effet, quelque soit le montant de la transaction, les frais s'élèvent à 1,5 euros. on peut simplement regretter l'impossibilité de recevoir des paiements inférieurs à 50 euros.je n´ai jamais fait appel au service clientèle.",utilise surtout payoneer clients depuis plusieurs années globalement satisfait notamment parce offre différents avantages assez intéressants principal entre transactions rapides délais très souvent plus courts ceux annoncés payonner alors transfert sensé prendre jours reçois généralement argent dès lendemain ordre transfert outre frais très bas fixes effet quelque montant transaction frais élèvent euros peut simplement regretter impossibilité recevoir paiements inférieurs 50 euros jamais fait appel service clientèle,Positive,3,service
1404,Avis Payoneer ,"4,3 sur 5 étoiles",07/01/2021,"en tout, ouvrir un compte chez payoneer m'a pris moins d'une semaine. lundi, j'ai rempli le formulaire d'adhésion et envoyé les documents demandés (pièce d'identité, attestation de domiciliation bancaire, ...). de mémoire, j'ai reçu la réponse de l'établissement 3-4 jours après. s'inscrire sur payoneer est facile mais requiert d'être un peu patient.de toutes les fonctions de payoneer, celle qui me ravit le plus, c'est le global payment services. jamais, je n'aurais pensé qu'il était aussi facile d'obtenir des comptes en banque en eur, usd, yen, etc. bien évidemment, j'apprécie aussi d'avoir une mastercard prépayée livrée gratuitement et dépourvue de frais mensuels.je n'ai jamais eu besoin de contacter le service client de payoneer.il est regrettable de ne pas avoir de numéro vert francophone.",tout ouvrir compte chez payoneer pris moins semaine lundi rempli formulaire adhésion envoyé documents demandés pièce identité attestation domiciliation bancaire mémoire reçu réponse établissement jours après inscrire payoneer facile requiert être peu patient toutes fonctions payoneer celle ravit plus global payment services jamais pensé aussi facile obtenir comptes banque eur usd yen etc bien évidemment apprécie aussi avoir mastercard prépayée livrée gratuitement dépourvue frais mensuels jamais besoin contacter service client payoneer regrettable avoir numéro vert francophone,Positive,4,service
1405,Avis Payoneer ,"4,5 sur 5 étoiles",11/10/2020,"je suis client chez payoneer depuis 7 ans et c'est le service que j'utilise exclusivement pour toutes mes transactions en ligne.je me suis enregistré facilement et la carte est arrivé dans les deux semaines indiquées dans le mail. l'activation, l'utilisation et le remplacement des cartes ont toujours été simple. un appel au service client et c'est bon.toutes les fonctionnalités sont disponibles, je me sers presque exclusivement des comptes en banque virtuels pour recevoir mes paiements et en général ça me prends 2 jours ouvrables maximum. le service client est très utile à condition que j'appelle directement car en ligne le délai d'attente peut être assez long.seul bémol, les 3% de frais pour les retraits. pour moi c'est le meilleur service (après en avoir essayé plusieurs autres).",client chez payoneer depuis ans service utilise exclusivement toutes transactions ligne enregistré facilement carte arrivé deux semaines indiquées mail activation utilisation remplacement cartes toujours simple appel service client bon toutes fonctionnalités disponibles sers presque exclusivement comptes banque virtuels recevoir paiements général ça prends jours ouvrables maximum service client très utile condition appelle directement car ligne délai attente peut être assez long seul bémol frais retraits meilleur service après avoir essayé plusieurs autres,Positive,0,service
1406,Avis Payoneer ,"3,3 sur 5 étoiles",04/10/2020,"qu'est-ce que j'aime sur payoneer ?le meilleur portefeuille virtuel, payonner est un outil polyvalent et idéal pour envoyer et recevoir avec la meilleure sécurité qui puisse être offerte sur le marché.sans aucun doute, avec cette plateforme à portée de main, je facilite mon quotidien sans encombrer mes finances et c'est vraiment fascinant.innovante, polyvalente, sûre et professionnelle sont les mots qui décrivent cette plateforme qui, dès le premier jour d'utilisation, vous offre une expérience de qualité. une autre caractéristique très pratique est que, lorsque vous recevez des paiements, vous avez la possibilité de retirer de l'argent directement de votre compte bancaire, ce qui est idéal et satisfaisant.qu'est-ce que je n'aime pas sur payooner ?sincèrement, payoneer a été très utile en comptant sur le meilleur système et la meilleure plateforme entièrement professionnelle et n'a pas causé de désagréments qui affectent mon expérience et mon vécu avec le logiciel, cependant, il est bon de considérer que s'il présente quelques défauts qui peuvent être compétents pour certains utilisateurs qui sont qu'à mon avis le montant d'envoi des paiements est un peu bas et que nous devrions faire des paiements uniquement aux banques qui sont enregistrées.",aime payoneer meilleur portefeuille virtuel payonner outil polyvalent idéal envoyer recevoir meilleure sécurité puisse être offerte marché sans aucun doute cette plateforme portée main facilite quotidien sans encombrer finances vraiment fascinant innovante polyvalente sûre professionnelle mots décrivent cette plateforme dès premier jour utilisation offre expérience qualité autre caractéristique très pratique lorsque recevez paiements possibilité retirer argent directement compte bancaire idéal satisfaisant aime payooner sincèrement payoneer très utile comptant meilleur système meilleure plateforme entièrement professionnelle causé désagréments affectent expérience vécu logiciel cependant bon considérer présente quelques défauts peuvent être compétents certains utilisateurs avis montant envoi paiements peu bas devrions faire paiements uniquement banques enregistrées,Positive,0,service
1407,Avis Payoneer ,"4,0 sur 5 étoiles",11/07/2020,"j'ai pour la première fois essayé une expérience avec payoneer alors que je me trouvais au bénin. c'était dans l'objectif de trouver un moyen de paiement autre que paypal (qui ne pouvait recevoir dans ce pays).en effet, je devrais pouvoir recevoir mon paiement depuis un site de rédaction/traduction bien connu mais qui ne payait ses auteurs que par ces deux moyens : payoneer et paypal.après quelques recherches sur les forums, je me suis rendu sur la plateforme que j'ai trouvé plutôt intuitive. l'enregistrement est plutôt aisé. ce que j'ai le plus aimé avec cette plateforme est le fait qu'ils proposent de multiples services. dans mon cas où j'avais besoin d'un compte bancaire européen virtuel pour recevoir mon paiement, c'était une aubaine. il suffisait de créer ce compte virtuel qu'on relie ensuite à un compte bancaire réel dans le pays où l'on est. il s'agit d'une solution des plus salutaires à mon avis. toutefois, j'ai été déçu par le montant des frais qui s'élevait jusqu'à 15 euros pour une seule transaction. toutefois, il faut avouer que la première transaction était gratuite.",première fois essayé expérience payoneer alors trouvais bénin objectif trouver moyen paiement autre paypal pouvait recevoir pays effet devrais pouvoir recevoir paiement depuis site rédaction traduction bien connu payait auteurs deux moyens payoneer paypal après quelques recherches forums rendu plateforme trouvé plutôt intuitive enregistrement plutôt aisé plus aimé cette plateforme fait proposent multiples services cas où besoin compte bancaire européen virtuel recevoir paiement aubaine suffisait créer compte virtuel relie ensuite compte bancaire réel pays où agit solution plus salutaires avis toutefois déçu montant frais élevait jusqu 15 euros seule transaction toutefois faut avouer première transaction gratuite,Positive,4,service
