,title,rating,date,review,CommentAferPreproc,sentiment,Topic,Topic_label
1373,Avis Vivid ,"4,0 sur 5 étoiles",22/06/2022,"vivid est une néobanque très intéressante et qui a des offres attractives. elle propose notamment la carte métal gratuite. je trouve la plateforme sécurisée et d'ailleurs vivid a mis tout en œuvre pour assurer la transparence dans les opérations. ainsi, grâce à sa licence je n'ai plus aucun doute sur la fiabilité de cette néobanque. les dépôts que j'effectue sur le site sont garantis à hauteur de 100.000 euros.en termes tarifaires, vivid propose une offre gratuite (vivid money standard) et l'offre payante (vivid prime) qui est à 9,90 euros/mois. j'ai pu ouvrir mon compte sur le site en quelques minutes. j'ai également bénéficié lors de l'ouverture du lien pour télécharger l'application vivid.vivid me permet donc d'acheter à partir de cette application mobile et sans commission, des actions dans des entreprises us ou les fcb. j´épargne de l'argent. l'assistance vivid utilise le mail indiqué lors de l'ouverture du compte pour contacter sa clientèle et répondre aux différentes préoccupations. j'apprécie cette stratégie permettant de rentrer simplement en contact avec leur service client.",vivid néobanque très intéressante offres attractives propose notamment carte métal gratuite trouve plateforme sécurisée ailleurs vivid mis tout œuvre assurer transparence opérations ainsi grâce licence plus aucun doute fiabilité cette néobanque dépôts effectue site garantis hauteur 100 000 euros termes tarifaires vivid propose offre gratuite vivid money standard offre payante vivid prime 90 euros mois pu ouvrir compte site quelques minutes également bénéficié lors ouverture lien télécharger application vivid vivid permet donc acheter partir cette application mobile sans commission actions entreprises us fcb épargne argent assistance vivid utilise mail indiqué lors ouverture compte contacter clientèle répondre différentes préoccupations apprécie cette stratégie permettant rentrer simplement contact service client,Positive,2,frais
1374,Avis Vivid ,"4,0 sur 5 étoiles",29/05/2022,"je cherchais une banque efficace et sûre et on m'a recommandé vivid. j'ai donc opté pour eux et je ne regrette pas. l'inscription en ligne est simple et rapide et se fait en peu d'étapes. j'ai un compte basique et je peux profiter des principales offres. vivid propose des options très intéressantes comme le cashback. j'ai déjà recommandé vivid à deux amis et ils sont tous deux aussi heureux. grâce à ces parrainages, j'ai pu augmenter la valeur de mon cashback. les cryptomonnaies sont également disponibles sur vivid. j'ai déjà investi dans le bitcoin et l'ethereum notamment. je réalise mes opérations le plus souvent avec l'application mobile, qui est plutôt intéressante. je peux même envoyer de l'argent à l'autre bout du monde et ceci sans frais. de mes deux interactions avec eux, je peux assurer que le service client est prompt et jovial.",cherchais banque efficace sûre recommandé vivid donc opté regrette inscription ligne simple rapide fait peu étapes compte basique peux profiter principales offres vivid propose options très intéressantes comme cashback déjà recommandé vivid deux amis tous deux aussi heureux grâce parrainages pu augmenter valeur cashback cryptomonnaies également disponibles vivid déjà investi bitcoin ethereum notamment réalise opérations plus souvent application mobile plutôt intéressante peux envoyer argent autre bout monde ceci sans frais deux interactions peux assurer service client prompt jovial,Positive,2,frais
1375,Avis Vivid ,"4,0 sur 5 étoiles",25/04/2022,"durant la période du confinement, alors que j’étais en recherche de banques mobiles pour me faire du revenu, je suis tombé sur vivid. depuis, je me suis accroché à l’application. lors de mon inscription, j’ai juste présenté mon passeport et renseigné quelques informations personnelles : tout s’est bien passé. par la suite, j’ai créé mon premier compte bancaire chez vivid qui m’a été fourni avec un iban.depuis que j’utilise l’application, l’interface et la facilité de navigation ne cessent de m’impressionner. le design est franchement bien conçu, bien structuré, et tout fonctionne parfaitement. l'investissement est d’ailleurs très facile sur la plateforme, sans frais de transaction cachés. grâce à vivid, j’ai pu négocier facilement des actions, des etf et parfois même des cryptomonnaies. cerise sur le gâteau, leur service client est vraiment irréprochable. la seule fois que j’ai eu un problème avec eux, j’ai été vite réglé. je recommande.",durant période confinement alors recherche banques mobiles faire revenu tombé vivid depuis accroché application lors inscription juste présenté passeport renseigné quelques informations personnelles tout bien passé suite créé premier compte bancaire chez vivid fourni iban depuis utilise application interface facilité navigation cessent impressionner design franchement bien conçu bien structuré tout fonctionne parfaitement investissement ailleurs très facile plateforme sans frais transaction cachés grâce vivid pu négocier facilement actions etf parfois cryptomonnaies cerise gâteau service client vraiment irréprochable seule fois problème vite réglé recommande,Positive,0,service
1376,Avis Vivid ,"4,0 sur 5 étoiles",16/02/2022,"vivid est une néobanque certifiée et c'est d'ailleurs l'une des raisons qui peuvent pousser tout nouveau client à s'inscrire sur un site fiable. la plateforme propose plusieurs formules de compte dont une formule plus étoffée et une autre basique. je pense que l'offre qui m'a le plus séduit auprès de cette néobanque allemande est le cashback qui est une offre intéressante. grâce à cette dernière, j'ai pu récupérer jusqu'à 25 % du montant de mes acquisitions. vivid propose également la possibilité d'investir très simplement dans les crypto monnaies. j'y ai découvert l'offre permettant d'investir également sur des fonds cotés en bourses ou sur des actions. la plateforme propose des services avantageux pour ses clients. je peux facilement accéder aux différentes offres à partir de l'application mobile perfectionné et ergonomique. l'ouverture de compte est rapide et les paiements internationaux sont gratuits.",vivid néobanque certifiée ailleurs raisons peuvent pousser tout nouveau client inscrire site fiable plateforme propose plusieurs formules compte dont formule plus étoffée autre basique pense offre plus séduit auprès cette néobanque allemande cashback offre intéressante grâce cette dernière pu récupérer jusqu 25 montant acquisitions vivid propose également possibilité investir très simplement crypto monnaies découvert offre permettant investir également fonds cotés bourses actions plateforme propose services avantageux clients peux facilement accéder différentes offres partir application mobile perfectionné ergonomique ouverture compte rapide paiements internationaux gratuits,Positive,2,frais
1377,Avis Vivid ,"4,0 sur 5 étoiles",07/02/2022,"personnellement, j'ai souscrit à cette néobanque qui se démarque assez des autres et les différentes prestations fournies m'ont été appréciables. d'abord, j'ai été impressionné par la procédure d'ouverture de compte. ultra rapide, elle n'a nécessité aucun éclaircissement : tout était parfaitement compréhensible. ensuite, la néobanque propose plusieurs fonctionnalités d'investissement dont ceux dans les cryptomonnaies et son offre de cashback très intéressante. elle dispose aussi de services digitaux via une application mobile. enfin, pour avoir eu affaire au service client, je peux vous assurer qu'ils y sont accueillants, répondant aux préoccupations. en dépit de ses points forts, vivid présente des aspects négatifs. je n'ai pas pu entrer en possession de mon rib français à cause de l'indisponibilité de celle-ci. aussi, le cashback est limité avec l'offre gratuite.",personnellement souscrit cette néobanque démarque assez autres différentes prestations fournies appréciables abord impressionné procédure ouverture compte ultra rapide nécessité aucun éclaircissement tout parfaitement compréhensible ensuite néobanque propose plusieurs fonctionnalités investissement dont ceux cryptomonnaies offre cashback très intéressante dispose aussi services digitaux via application mobile enfin avoir affaire service client peux assurer accueillants répondant préoccupations dépit points forts vivid présente aspects négatifs pu entrer possession rib français cause indisponibilité celle ci aussi cashback limité offre gratuite,Positive,0,service
1378,Avis Vivid ,"4,3 sur 5 étoiles",26/01/2022,"la plateforme vivid est très appréciée du fait de son système de cashback d’une part, et du plan d’investissement boursier qu’il propose d’autre part. son principal atout réside dans le fait qu’il accorde de nombreux avantages à ses clients de l’offre basique. ces derniers ont la possibilité d’ouvrir un compte bancaire, de disposer d’une carte et de recevoir un cashback d’environ 10%. ce qui n’est pas le cas avec les plateformes concurrentes. en disposant d’un compte premium, la valeur du cash back peut atteindre 25%. par ailleurs, l’argent récupéré peut être versé dans un portefeuille d’actions. il peut donc prendre de la valeur en fonction du cours des actions. aussi, existe-t-il un plan de parrainage qui permet d’augmenter le cashback.en outre, la plateforme permet d’investir sur de nombreux actifs financiers, les actions, les obligations et les cryptomonnaies entre autres. l’inscription se fait gratuitement et un service clientèle est disponible pour répondre à toutes les requêtes des clients.",plateforme vivid très appréciée fait système cashback part plan investissement boursier propose autre part principal atout réside fait accorde nombreux avantages clients offre basique derniers possibilité ouvrir compte bancaire disposer carte recevoir cashback environ 10 cas plateformes concurrentes disposant compte premium valeur cash back peut atteindre 25 ailleurs argent récupéré peut être versé portefeuille actions peut donc prendre valeur fonction cours actions aussi existe plan parrainage permet augmenter cashback outre plateforme permet investir nombreux actifs financiers actions obligations cryptomonnaies entre autres inscription fait gratuitement service clientèle disponible répondre toutes requêtes clients,Positive,0,service
1379,Avis Vivid ,5 sur 5 étoiles,21/12/2021,"l’ouverture d’un compte est très simple et se fait en quelques minutes. tout se passe sur l’application ce qui facilite les démarches, notamment pour la prise des photos de la carte d'identité. la vérification des pièces justificatives n’a pris que quelques instants avant que mon compte ne soit validé. les services gratuits proposés sont complets et permettent de gérer un compte bancaire sans frais. la possibilité de générer du cashback sur l’ensemble de ses achats, dans l’offre payante, est très intéressante. l’autre avantage de cette banque en ligne est la possibilité de créer des enveloppes virtuelles. c’est l'idéal pour séparer ses différents investissements et ne pas devoir tout rassembler dans un seul compte. c'est l'aspect qui m'a le plus attirée et qui m'a poussée à ouvrir un compte gratuit dans cette banque.",ouverture compte très simple fait quelques minutes tout passe application facilite démarches notamment prise photos carte identité vérification pièces justificatives pris quelques instants avant compte validé services gratuits proposés complets permettent gérer compte bancaire sans frais possibilité générer cashback ensemble achats offre payante très intéressante autre avantage cette banque ligne possibilité créer enveloppes virtuelles idéal séparer différents investissements devoir tout rassembler seul compte aspect plus attirée poussée ouvrir compte gratuit cette banque,Positive,0,service
1380,Avis Vivid ,5 sur 5 étoiles,21/12/2021,"j'ai ouvert un compte en ligne chez vivid et j'en suis vraiment très satisfaite. l'ouverture du compte a été très facile, il suffit d'envoyer les documents et de faire un selfie via l'application pour confirmer notre identité, puis la validation du compte ensuite est ultra rapide.les paiements internationaux sont gratuits contrairement à ma banque traditionnelle, c'est un gros point positif pour moi qui les utilise régulièrement. ce que j'apprécie énormément avec vivid c'est que je peux maîtriser mon budget de manière optimale grâce au système de pockets, en créant des posts de dépense spécifiques. ça me permet d'économiser facilement et d'avoir de la visibilité sur mon budget. le fait de pouvoir relier la carte bancaire à la pocket dont on a besoin sur le moment grâce à l'application mobile est vraiment hyper pratique. je m'en sers au quotidien. je n'ai pas eu à utiliser le service client, mais a priori il est disponible 24h/24 ce qui est un gros avantage en cas d'urgence.",ouvert compte ligne chez vivid vraiment très satisfaite ouverture compte très facile suffit envoyer documents faire selfie via application confirmer identité puis validation compte ensuite ultra rapide paiements internationaux gratuits contrairement banque traditionnelle gros point positif utilise régulièrement apprécie énormément vivid peux maîtriser budget manière optimale grâce système pockets créant posts dépense spécifiques ça permet économiser facilement avoir visibilité budget fait pouvoir relier carte bancaire pocket dont besoin moment grâce application mobile vraiment hyper pratique sers quotidien utiliser service client priori disponible 24h 24 gros avantage cas urgence,Positive,0,service
1381,Avis Vivid ,"4,3 sur 5 étoiles",23/11/2021,"une bonne banque qui fait également office de courtier et qui remplit pleinement son rôle. la plateforme offre la possibilité d’investir sur un bon nombre d’instruments tels que les actions, les crypto monnaies et même quelques métaux précieux.le processus d’inscription est simple, en moins d’une semaine j’ai pu obtenir l’accès à mon compte.l’application mobile est géniale, surtout le suivi du budget qui permet d’identifier en un coup d’œil les dépenses mensuelles. le seul bémol que j’ai trouvé est la formation à l’investissement : peu de contenu et seulement en anglais.je recommande la plateforme aux utilisateurs pour sa simplicité d’utilisation, les frais sont également faibles par rapport à la concurrence sur le marché ; la plateforme permet de changer ses habitudes financières afin de faire fructifier son argent.",bonne banque fait également office courtier remplit pleinement rôle plateforme offre possibilité investir bon nombre instruments tels actions crypto monnaies quelques métaux précieux processus inscription simple moins semaine pu obtenir accès compte application mobile géniale surtout suivi budget permet identifier coup œil dépenses mensuelles seul bémol trouvé formation investissement peu contenu seulement anglais recommande plateforme utilisateurs simplicité utilisation frais également faibles rapport concurrence marché plateforme permet changer habitudes financières afin faire fructifier argent,Positive,0,service
1382,Avis Vivid ,"4,0 sur 5 étoiles",21/11/2021,"j'ai ouvert un compte en ligne au mois de janvier 2021. c'est la proposition liée au cashback qui m'a convaincu (promesses de gain allant jusqu'à 10%). compte tenu des mes précédentes expériences bancaires, je m'attendais à patienter quelques semaines avant l'activation de mon compte. mais en quelques jours mon compte était opérationnel. les promesses liées au cashback sont réelles et j'ai pu rapidement en tirer bénéfice via mes premiers achats avec la carte métal gold. le seul bémol que je souhaite vivement souligner est lié au fait que ce soit une banque étrangère. la loi française impose aux clients d'une telle banque de déclarer le compte au fisc annuellement. par contre, je n'ai pas obtenu cette information par le biais de la banque mais en faisant mes propres recherches sur internet. c'est dommage qu'elle ne m'ai pas été portée à connaissance lors de mon inscription !",ouvert compte ligne mois janvier 2021 proposition liée cashback convaincu promesses gain allant jusqu 10 compte tenu précédentes expériences bancaires attendais patienter quelques semaines avant activation compte quelques jours compte opérationnel promesses liées cashback réelles pu rapidement tirer bénéfice via premiers achats carte métal gold seul bémol souhaite vivement souligner lié fait banque étrangère loi française impose clients telle banque déclarer compte fisc annuellement contre obtenu cette information biais banque faisant propres recherches internet dommage portée connaissance lors inscription,Positive,1,frais
